acnum_pos,actual,predicted
VQ-BGU_pos_1,44.437,41.26405694190372
VQ-BGU_pos_1,44.379,42.38527254724896
VQ-BGU_pos_1,43.742,46.3863697219914
VQ-BGU_pos_1,46.443,45.98025707472637
VQ-BGU_pos_1,47.66,42.13435774557181
VQ-BGU_pos_1,45.172,45.96505350231023
VQ-BGU_pos_1,45.507,49.20924183083503
VQ-BGU_pos_1,46.462,45.833458797758546
VQ-BGU_pos_1,45.329,42.855969993378345
VQ-BGU_pos_1,46.366,46.0093566350706
VQ-BGU_pos_1,46.412,41.61154556680123
VQ-BGU_pos_1,45.586,44.20965385418091
VQ-BGU_pos_1,44.898,42.37701817529887
VQ-BGU_pos_1,45.402,43.71056305833662
VQ-BGU_pos_1,45.382,43.8576245481721
VQ-BGU_pos_1,44.126,44.526183772299646
VQ-BGU_pos_1,45.901,45.20137108440306
VQ-BGU_pos_1,45.489,41.24082939310809
VQ-BGU_pos_1,45.837,44.14392869949255
VQ-BGU_pos_1,44.764,44.28400023372045
VQ-BGU_pos_1,45.034,44.67337975625831
VQ-BGU_pos_1,44.069,44.12957786139212
VQ-BGU_pos_1,44.803,40.42526533990835
VQ-BGU_pos_1,43.87,42.11608953930513
VQ-BGU_pos_1,42.73,41.852167920803986
VQ-BGU_pos_1,42.851,41.27750886459828
VQ-BGU_pos_1,42.313,42.934461102706024
VQ-BGU_pos_1,42.374,41.20099816116793
VQ-BGU_pos_1,41.973,42.65468517708145
VQ-BGU_pos_1,44.101,39.96718543478537
VQ-BGU_pos_1,43.983,43.809002615926026
VQ-BGU_pos_1,43.896,39.68851123104696
VQ-BGU_pos_1,43.627,41.71142309427492
VQ-BGU_pos_1,43.348,41.76777005269137
VQ-BGU_pos_1,43.518,40.451841544947456
VQ-BGU_pos_1,43.529,42.07134442471744
VQ-BGU_pos_1,43.438,41.69311639685691
VQ-BGU_pos_1,43.429,40.781135019517386
VQ-BGU_pos_1,43.348,42.11354126879604
VQ-BGU_pos_1,43.046,41.718576173457336
VQ-BGU_pos_1,42.88,42.5511310735876
VQ-BGU_pos_1,42.648,40.361036314726654
VQ-BGU_pos_1,42.274,41.36499744930423
VQ-BGU_pos_1,41.918,39.53125533576627
VQ-BGU_pos_1,41.748,40.911523845782625
VQ-BGU_pos_1,41.602,39.93233263996527
VQ-BGU_pos_1,41.28,40.44719788208646
VQ-BGU_pos_1,41.021,39.936226506103836
VQ-BGU_pos_1,40.968,39.47099533186916
VQ-BGU_pos_1,40.497,39.256156256708294
VQ-BGU_pos_1,40.415,39.47161927970942
VQ-BGU_pos_1,40.266,40.93389413935299
VQ-BGU_pos_1,40.494,39.12729491360916
VQ-BGU_pos_1,40.32,39.89236077979066
VQ-BGU_pos_1,40.25,41.50008040968203
VQ-BGU_pos_1,39.998,39.573150595260906
VQ-BGU_pos_1,39.885,40.38612270156645
VQ-BGU_pos_1,39.888,39.40320304287144
VQ-BGU_pos_1,39.46,40.951691573514395
VQ-BGU_pos_1,39.186,39.33082758361231
VQ-BGU_pos_1,39.025,40.195026573200366
VQ-BGU_pos_1,38.853,39.77686126962776
VQ-BGU_pos_1,38.701,39.217371231755735
VQ-BGU_pos_1,38.508,41.1551359432994
VQ-BGU_pos_1,38.711,38.343912716687356
VQ-BGU_pos_1,38.825,41.01898759606501
VQ-BGU_pos_1,38.58,38.87346314526702
VQ-BGU_pos_1,38.821,40.14571902417127
VQ-BGU_pos_1,38.727,39.392718184706105
VQ-BGU_pos_1,38.893,39.862460946282326
VQ-BGU_pos_1,38.652,39.1972786097409
VQ-BGU_pos_1,38.892,39.34386347460885
VQ-BGU_pos_1,38.904,38.511435388038976
VQ-BGU_pos_1,38.897,40.09468918436994
VQ-BGU_pos_1,38.678,40.053034214520224
VQ-BGU_pos_1,38.881,39.57032558315211
VQ-BGU_pos_1,39.058,39.81097500536409
VQ-BGU_pos_1,38.66,40.032815070159316
VQ-BGU_pos_1,38.854,40.698679376944554
VQ-BGU_pos_1,38.897,39.34549620363802
VQ-BGU_pos_1,39.044,39.44151042495001
VQ-BGU_pos_1,39.378,39.27767461093542
VQ-BGU_pos_1,39.68,39.90092573903029
VQ-BGU_pos_1,39.81,38.47330914320763
VQ-BGU_pos_1,39.665,38.857752512084964
VQ-BGU_pos_1,40.026,37.99321484607413
VQ-BGU_pos_1,40.575,40.667554149865694
VQ-BGU_pos_1,40.767,36.629011255346335
VQ-BGU_pos_1,40.684,35.893476965949056
VQ-BGU_pos_1,40.364,37.38613632675783
VQ-BGU_pos_1,40.162,39.80854345267181
VQ-BGU_pos_1,40.218,36.080410971889506
