reportts,acnum,pos,fltdes,dep,arr,egt,n1a,n2a,nf,ff,mn,t2,tat,oat,alt,p2e,wai,nai,prv,hpv,xf,egtm
2018-12-24 10:53:22,VQ-BGU,1,8990.0,EDHI,UUDD,800.1,77.95,87.63,77.92,2783.0,0.257,3.0,2.0,1.6,1418.0,14.902,0.0,0.0,1.0,0.0,0.0,44.437
2018-12-24 10:53:22,VQ-BGU,2,8990.0,EDHI,UUDD,802.4,78.0,87.79,78.0,2775.0,0.257,3.1,2.0,1.6,1418.0,14.755,0.0,0.0,1.0,0.0,0.0,45.869
2018-12-25 15:23:23,VQ-BGU,1,1024.0,URSS,UUDD,851.4,82.7,90.22,82.71,3185.0,0.254,10.4,10.2,9.0,2005.0,14.669,0.0,0.0,1.0,0.0,0.0,44.379
2018-12-25 15:23:23,VQ-BGU,2,1024.0,URSS,UUDD,854.0,82.66,90.35,82.71,3179.0,0.254,10.6,10.2,9.0,2005.0,14.471,0.0,0.0,1.0,0.0,0.0,44.904
2018-12-25 20:49:27,VQ-BGU,1,217.0,UUDD,UNBB,851.6,86.02,89.57,86.1,3637.0,0.262,-8.9,-7.2,-9.9,1739.0,14.699,0.0,0.0,1.0,0.0,0.0,43.742
2018-12-25 20:49:27,VQ-BGU,2,217.0,UUDD,UNBB,852.8,86.03,89.72,86.22,3655.0,0.262,-8.6,-7.2,-9.9,1739.0,14.57,0.0,0.0,1.0,0.0,0.0,44.318
2018-12-26 11:42:26,VQ-BGU,1,1045.0,UUDD,URSS,826.3,83.73,88.74,83.79,3298.0,0.25,-7.3,-6.2,-8.3,1672.0,14.67,0.0,1.0,0.0,0.0,0.0,46.443
2018-12-26 11:42:26,VQ-BGU,2,1045.0,UUDD,URSS,824.8,83.75,88.91,83.92,3308.0,0.25,-7.5,-6.2,-8.3,1672.0,14.511,0.0,1.0,0.0,0.0,0.0,46.754
2018-12-26 15:19:13,VQ-BGU,1,1046.0,URSS,UUDD,789.5,78.14,87.68,78.11,2749.0,0.22,4.1,5.2,2.6,934.0,15.005,0.0,0.0,0.0,0.0,0.0,47.66
2018-12-26 15:19:13,VQ-BGU,2,1046.0,URSS,UUDD,786.5,78.15,87.84,78.17,2738.0,0.22,4.3,5.2,2.6,934.0,14.875,0.0,0.0,0.0,0.0,0.0,47.85
2018-12-26 20:07:26,VQ-BGU,1,778.0,UUDD,UIII,872.6,87.49,90.14,87.57,3681.0,0.303,-8.8,-5.0,-10.1,3331.0,14.011,0.0,1.0,1.0,0.0,0.0,45.172
2018-12-26 20:07:26,VQ-BGU,2,778.0,UUDD,UIII,874.5,87.47,90.29,87.66,3702.0,0.303,-8.7,-5.0,-10.1,3331.0,13.902,0.0,1.0,1.0,0.0,0.0,47.049
2018-12-27 03:36:03,VQ-BGU,1,777.0,UIII,UUDD,751.1,82.58,85.29,82.66,3569.0,0.269,-36.5,-18.0,-36.8,2610.0,14.25,0.0,0.0,1.0,0.0,0.0,45.507
2018-12-27 03:36:03,VQ-BGU,2,777.0,UIII,UUDD,750.8,82.55,85.39,82.73,3582.0,0.269,-36.1,-18.0,-36.8,2610.0,14.153,0.0,0.0,1.0,0.0,0.0,47.055
2018-12-27 12:12:42,VQ-BGU,2,955.0,UUDD,UGTB,850.9,85.73,89.78,85.92,3593.0,0.279,-7.3,-6.2,-8.6,1942.0,14.532,0.0,1.0,1.0,0.0,0.0,46.403
2018-12-27 12:12:42,VQ-BGU,1,955.0,UUDD,UGTB,849.0,85.77,89.61,85.84,3569.0,0.279,-7.6,-6.2,-8.7,1942.0,14.659,0.0,1.0,1.0,0.0,0.0,46.462
2018-12-27 15:45:47,VQ-BGU,2,956.0,UGTB,UUDD,791.6,78.25,87.97,78.26,2673.0,0.272,3.5,3.0,1.7,3404.0,13.749,0.0,0.0,1.0,0.0,0.0,46.36
